Time, Latitude(DD), Longitude(DD), Latitude(m), Longitude(m), Altitude(m), Roll(deg), Pitch(deg), Yaw(deg)
1508313216.000000, 48.237773, 16.332037, 5343586.000000, 598905.500000, 263.899994, -0.361054, -1.200755, -74.258362
1508313217.000000, 48.237772, 16.332027, 5343585.500000, 598904.750000, 262.799988, -0.394831, -1.232303, -74.267418
1508313218.000000, 48.237777, 16.332007, 5343586.500000, 598903.250000, 262.100006, -0.389447, -1.203477, -74.294632
1508313219.000000, 48.237782, 16.331995, 5343587.000000, 598902.375000, 261.500000, -0.387756, -1.192698, -74.261436
1508313220.000000, 48.237782, 16.331992, 5343587.000000, 598902.125000, 260.799988, -0.420594, -1.146901, -74.225060
1508313221.000000, 48.237787, 16.331980, 5343587.500000, 598901.250000, 260.000000, -0.460229, -1.123544, -73.994186
1508313222.000000, 48.237792, 16.331965, 5343588.000000, 598900.125000, 259.000000, -0.395279, -1.066173, -74.083435
1508313223.000000, 48.237793, 16.331960, 5343588.000000, 598899.750000, 258.500000, -0.261358, -1.144885, -73.768951
1508313224.000000, 48.237793, 16.331950, 5343588.000000, 598899.000000, 257.799988, 11.463251, -4.811583, -78.793900
1508313225.000000, 48.237792, 16.331947, 5343588.000000, 598898.812500, 256.899994, 14.773396, -6.164443, -80.712532
1508313226.000000, 48.237795, 16.331940, 5343588.000000, 598898.312500, 256.100006, 14.646176, -6.282391, -80.718147
1508313227.000000, 48.237800, 16.331927, 5343589.000000, 598897.312500, 255.399994, 15.405619, -6.131315, -80.654922
1508313228.000000, 48.237802, 16.331920, 5343589.000000, 598896.812500, 254.899994, 16.958702, -6.752388, -81.210793
1508313229.000000, 48.237800, 16.331922, 5343589.000000, 598896.937500, 254.600006, 20.281046, -7.547750, -82.317802
1508313230.000000, 48.237798, 16.331922, 5343588.500000, 598896.937500, 254.500000, 18.303600, -9.741874, -82.381760
1508313231.000000, 48.237802, 16.331922, 5343589.000000, 598896.937500, 254.500000, -8.180522, -16.411659, -74.669273
1508313232.000000, 48.237807, 16.331912, 5343589.500000, 598896.187500, 254.199997, -10.484811, 20.196218, -71.459740
1508313233.000000, 48.237815, 16.331900, 5343590.500000, 598895.250000, 253.699997, -2.861764, 22.865480, -71.157631
1508313234.000000, 48.237818, 16.331892, 5343591.000000, 598894.625000, 253.300003, 0.729629, 1.384840, -69.340698
1508313235.000000, 48.237822, 16.331887, 5343591.000000, 598894.250000, 253.000000, 11.604140, -31.063999, -73.768303
